title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
大语言模型的教育伦理评估研究--以海外国际中文教学机构评测为例.,肖锐， 刘玲， 杨蓉， 张邝弋,2026,0,"… 摘要 为探究大语言模型(LLM)在国际中文教育场景中的内容输出倾向及… 型模型(Copilot,Claude,LLaMa-2)与教育垂直型模 型(Educhat),依托海外… 研究方向:人工智能教育伦理与国际中文教育. …",xhn2dWV0TcoJ,"肖锐， 刘玲， 杨蓉， 张邝弋 - International Journal of Chinese …, 2026 - openurl.ebsco.com",[],https://openurl.ebsco.com/contentitem/gcd:194275387?sid=ebsco:plink:crawler-gcd&id=ebsco:gcd:194275387&crl=c&jrnl=27089517,unknown,unknown
大语言模型在国际中文阅读自动出题中的效能评估.,景宏伟， 徐娟,2026,0,"… 大模型为代表的生成式人工智能技术正持续推动国际中文教育领域 的数字化转型,为教学资源的智能… 为全面评测大模型在国际中文教育自动命题任务上的表现,本研究采用实验比 较法,通过系统…",XecuDBmhaXoJ,"景宏伟， 徐娟 - Journal of Technology & Chinese Language …, 2026 - openurl.ebsco.com",[],https://openurl.ebsco.com/contentitem/gcd:195739740?sid=ebsco:plink:crawler-gcd&id=ebsco:gcd:195739740&crl=c&jrnl=1949260X,unknown,unknown
基于大语言模型的中文语法教学资源生成测评研究,宾帅， 王亚敏， 胡韧奋,2025,1,"… 语言模型涌现出许 多惊人的能力,并让人们看到了通用人工智能的… 国际中文教育迎来数字化转型时期, 人工智能技术给国际中文教育带来了新的机遇和挑战,应当将此类技术作为服务国际中文 …",dlIt3zGhkewJ,"宾帅， 王亚敏， 胡韧奋 - 世界汉语教学, 2025 - researchgate.net",['https://www.researchgate.net/profile/Shuai_Bin/publication/394082778_An_evaluation_study_on_LLM-based_resource_generation_for_Chinese_grammar_teachingjiyudayuyanmoxingdezhongwenyufajiaoxueziyuanshengchengcepingyanjiushijiehanyujiaoxueChinese_Teaching_in_the_World2025ni/links/690b3a7f9708d52f2da51353/An-evaluation-study-on-LLM-based-resource-generation-for-Chinese-grammar-teachingjiyudayuyanmoxingdezhongwenyufajiaoxueziyuanshengchengcepingyanjiushijiehanyujiaoxueChinese-Teaching-in-the-World2025ni.pdf'],https://www.researchgate.net/profile/Shuai_Bin/publication/394082778_An_evaluation_study_on_LLM-based_resource_generation_for_Chinese_grammar_teachingjiyudayuyanmoxingdezhongwenyufajiaoxueziyuanshengchengcepingyanjiushijiehanyujiaoxueChinese_Teaching_in_the_World2025ni/links/690b3a7f9708d52f2da51353/An-evaluation-study-on-LLM-based-resource-generation-for-Chinese-grammar-teachingjiyudayuyanmoxingdezhongwenyufajiaoxueziyuanshengchengcepingyanjiushijiehanyujiaoxueChinese-Teaching-in-the-World2025ni.pdf,unknown,unknown
人工智能多模态教学资源的生成与评价,欧志刚， 刘玉屏， 覃可， 王艺， 李欣燚,2024,18,"… 同时,国际中文教育资源建设需与人工智能技术相适配,以支持 探索新的教学模式和构建智慧学习环境[11].此外,中国的传统文化,当代文明成就,现代化… 语音合成,文本翻译,图像生成,大语言模型 …",gO1m2UIjmJ4J,"欧志刚， 刘玉屏， 覃可， 王艺， 李欣燚 - 现代教育技术, 2024 - sciopen.com",['https://www.sciopen.com/local/article_pdf/10.3969/j.issn.1009-8097.2024.09.004.pdf'],https://www.sciopen.com/local/article_pdf/10.3969/j.issn.1009-8097.2024.09.004.pdf,unknown,unknown
基于大语言模型的中文阅读测试题自动生成研究.,王鸿滨， 吕海辉,2025,3,"… 大语言模 型自动生成的题目与HSK真题在语言流畅度,言语准确性,问题复杂度,答案 有在性,判断确信度五个方面均没有显著差异,说明基于大语言模型自动生成 题目在国际中文教育… 为人工智能…",ZEG9lXvRhn8J,"王鸿滨， 吕海辉 - Journal of International Chinese Teaching, 2025 - search.ebscohost.com",[],https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=2095798X&AN=184581014&h=JZZgNVENjPSuKNRbXyCVfr%2BB4xL2eGTBCWYs4JX4ACQ8gbAapbkvMb3pIFgrILKWYvIl2sBlr%2F9U3lynuPoPyA%3D%3D&crl=c,unknown,unknown
大语言模型赋能中文二语阅读测试的研发与应用研究,王亚敏， 宾帅， 赵杨,2025,2,"… 随着人工智能的发展,以ChatGPT 为代表的通用大语言模型为自动试题生成提供了新 方案.在语言教育领域,国外学者开始… 近年来,大语言模型在国际中文教育中的应用研究逐渐兴起,如何将大…",K_9SXMBD8ToJ,"王亚敏， 宾帅， 赵杨 - 语言教学与研究, 2025 - researchgate.net",['https://www.researchgate.net/profile/Yamin-Wang-22/publication/394082794_The_development_and_application_of_CSL_reading_tests_empowered_by_large_language_modelsdayuyanmoxingfunengzhongweneryuyueduceshideyanfayuyingyongyanjiuyuyanjiaoxueyuyanjiuLanguage_Teaching_and_Linguis/links/690c2cc24baee16591910ef6/The-development-and-application-of-CSL-reading-tests-empowered-by-large-language-modelsdayuyanmoxingfunengzhongweneryuyueduceshideyanfayuyingyongyanjiuyuyanjiaoxueyuyanjiuLanguage-Teaching-and-Linguis.pdf'],https://www.researchgate.net/profile/Yamin-Wang-22/publication/394082794_The_development_and_application_of_CSL_reading_tests_empowered_by_large_language_modelsdayuyanmoxingfunengzhongweneryuyueduceshideyanfayuyingyongyanjiuyuyanjiaoxueyuyanjiuLanguage_Teaching_and_Linguis/links/690c2cc24baee16591910ef6/The-development-and-application-of-CSL-reading-tests-empowered-by-large-language-modelsdayuyanmoxingfunengzhongweneryuyueduceshideyanfayuyingyongyanjiuyuyanjiaoxueyuyanjiuLanguage-Teaching-and-Linguis.pdf,unknown,unknown
智慧教育中的大语言模型综述,肖建力， 黄星宇， 姜飞,2025,4,"… 着大语言模型的兴起,人工智能有望融入到教与学的过程中,教育… 该大模型在中文通用大模型评测基准SuperCLUE(super … 语言学习和科学教育,支持个性化互动和实时反馈,尤其适合国际…",wwD2Sq3c2i8J,"肖建力， 黄星宇， 姜飞 - 智能系统学报, 2025 - html.rhhz.net",[],https://html.rhhz.net/tis/html/202406040.htm,unknown,unknown
"大语言模型的教育应用: 原理, 现状与挑战*——从轻量级BERT 到对话式ChatGPT.",刘明， 吴忠明， 廖剑， 任伊灵…,2023,15,"… 学习,智能教学评价,数字化管理等场景,实现大语言模型教育应用… 政府可以联动企业与头部高校设立大语言模型(人工智能) 应用… 从国际视野透视如何将ChatGPT 有效纳入教育——基于对72 …",1XwPYK2IETcJ,"刘明， 吴忠明， 廖剑， 任伊灵… - Modern Educational …, 2023 - openurl.ebsco.com",[],https://openurl.ebsco.com/contentitem/gcd:172373409?sid=ebsco:plink:crawler-gcd&id=ebsco:gcd:172373409&crl=c&jrnl=10098097,unknown,unknown
"面向国际中文教育的教学多智能体: 目标定位, 系统架构与应用场景.",袁亚兴， 贺媛婧， 管梦媛， 智勇,2026,3,… 国际中文教育的数智化转 型提供了重要的理论与实践参考遥 [关键词] 国际中文教育曰教学多智能体曰大语言模型曰人工智能… 袁硕士袁主要从事教育信息化尧人工智能教育应用研究遥Email院…,jnyPhR5M0g0J,"袁亚兴， 贺媛婧， 管梦媛， 智勇 - e-Education Research, 2026 - openurl.ebsco.com",[],https://openurl.ebsco.com/contentitem/gcd:192186263?sid=ebsco:plink:crawler-gcd&id=ebsco:gcd:192186263&crl=c&jrnl=10031553,unknown,unknown
大语言模型在中学历史学科中的应用测评分析,申丽萍， 何朝帆， 曹东旭， 朱云彬， 吴永和,2024,5,"… ,安全,高效,好用的教育通用人工智能大模型的发展.除了相关的政策… 集上的评测已日趋成熟,其在中文数据集上的评测也逐渐进入… 这些行为引起了国际社会的广泛关注和谴责. 1999 年,北约对于…",ze-lb3MAAjgJ,"申丽萍， 何朝帆， 曹东旭， 朱云彬， 吴永和 - 现代教育技术, 2024 - sciopen.com",['https://www.sciopen.com/local/article_pdf/10.3969/j.issn.1009-8097.2024.02.007.pdf'],https://www.sciopen.com/local/article_pdf/10.3969/j.issn.1009-8097.2024.02.007.pdf,unknown,unknown
